"","PA","Age","yr2_PA","yr2_Age","change_wRC_CON","change_zscore","change_zscore_everyday","PA_ave","age_cohort"
"177",660,23,684,24,0.005,-0.103640151758291,-0.376136476697866,672,"23-24"
"178",662,23,626,24,-0.022,-0.252117170471244,-0.764246972043356,644,"23-24"
"179",350,23,516,24,-0.028,-0.425505830380442,-1.91560695797226,433,"23-24"
"180",498,23,479,24,0.03,0.278585416048373,1.01163357799832,488.5,"23-24"
"181",450,23,508,24,-0.004,-0.0314871211877894,0.076411581497735,479,"23-24"
"182",470,23,571,24,-0.01,-0.0734955420070353,-0.127614129906821,520.5,"23-24"
"183",618,23,727,24,0.00999999999999998,0.0713521370305165,0.346991259061379,672.5,"23-24"
"184",394,23,341,24,0.03,0.377333686892066,1.32548696255843,367.5,"23-24"
"185",493,23,630,24,0.00700000000000001,0.0592971576905882,0.225139323881985,561.5,"23-24"
"186",410,23,368,24,-0.00800000000000001,-0.0547357847013339,0.0717248165363517,389,"23-24"
"187",478,23,571,24,0.002,0.100019761075145,0.552257424231453,524.5,"23-24"
"188",565,23,650,24,-0.031,-0.423963129693426,-1.5884514360846,607.5,"23-24"
"189",322,23,524,24,0.035,0.409106808816582,1.62011848217681,423,"23-24"
"190",452,23,463,24,0.014,-0.0305881056477566,-0.236410796677173,457.5,"23-24"
"191",478,23,321,24,-0.028,-0.437054558066707,-1.66608462760675,399.5,"23-24"
"192",456,23,693,24,-0.015,0.0485496744636811,0.0733230021562205,574.5,"23-24"
"193",501,23,280,24,-0.00999999999999998,-0.347098478717209,-1.61754872781178,390.5,"23-24"
"194",604,23,606,24,-0.038,-0.254365531934769,-1.12879162503801,605,"23-24"
"195",583,23,392,24,-0.00900000000000001,-0.117003931087622,-0.456170419660609,487.5,"23-24"
"196",645,23,633,24,-0.015,-0.0491012284835337,-0.197245226492983,639,"23-24"
"197",513,23,518,24,0.00700000000000001,0.105533225443383,0.373779361812063,515.5,"23-24"
"198",455,23,427,24,-0.00999999999999998,-0.129403648532262,-0.521877631550461,441,"23-24"
"199",431,23,601,24,-0.024,-0.161761173861337,-0.712856823719934,516,"23-24"
"200",582,23,635,24,0.00900000000000001,0.15668042981403,0.638545668686825,608.5,"23-24"
"201",563,23,467,24,-0.004,0.208406020621764,0.751372401500956,515,"23-24"
